,winner,winner_score
302,Uganda,134.8
303,United Arab Emirates,144.28
304,United Bank Limited,144.8
305,United States Virgin Islands,138.0
306,United States of America,140.33
307,Uthura Rudras,152.5
308,Uthura Yellows,158.0
309,Uttar Pradesh,149.89
310,Uva Next,145.0
311,Victoria,166.3
312,Vidarbha,150.46
313,Warriors,145.42
314,Warwickshire,155.65
315,Water and Power Development Authority,140.0
316,Wayamba,142.57
317,Wayamba United,169.4
318,Wellington,159.67
319,West Indies,161.05
320,West Indies A,122.6
321,Western Australia,167.64
322,Western Province,147.65
323,Western Troopers,165.0
324,Westerns,136.5
325,Windward Islands,138.09
326,Worcestershire,165.92
327,Yorkshire,158.04
328,Zarai Taraqiati Bank Limited,145.62
329,Zimbabwe,150.47
330,Zimbabwe President's XI,147.0
331,Zimbabwe XI,160.0
